cid,Molecular_weight,LogP,Number_of_HBA_1,Number_of_HBA_2,Number_of_HBD_1,Number_of_HBD_2,Number_of_acidic_groups,Number_of_aliphatic_OH_groups,Number_of_basic_groups,Fraction_of_rotatable_bonds,Number_of_heavy_bonds,Number_of_heterocycles,Number_of_hydrophobic_groups,MolarRefractivity,Number_of_atoms,Number_of_halogen_atoms,Number_of_B_atoms,Number_of_Br_atoms,Number_of_Cl_atoms,Number_of_I_atoms,Number_of_F_atoms,Number_of_N_atoms,Number_of_O_atoms,Number_of_P_atoms,Number_of_S_atoms,Number_of_bonds,Number_of_NO2_groups,Number_of_SO_groups,Number_of_OSO_groups,Number_of_SO2_groups,PolarSurfaceArea,Geometrical_diameter,Geometrical_radius,Geometrical_shape_coefficient,Kier_shape_1,Kier_shape_2,Zagreb_group_index_1,Zagreb_group_index_2
8OS,4.2731399369239807E2,1.7716999999999992,29,12,6,5,1,2,0,1.5625E-1,32,4,0,1.1704149999999997E2,47,0,0,0,0,0,0,7,7,1,0,50,0,0,0,0,2.2429999999999998E2,1.4092226945746924E1,9.666190208837337E-1,1.35788843808009E1,2.2203125E1,8.501457725947521,2.54E2,2.89E2
8YN,3.071989953517914E2,1.4812999999999996,21,9,5,4,2,1,0,1.9047619047619047E-1,21,2,0,8.119010000000002E1,34,0,0,0,0,0,0,3,7,1,0,35,0,0,0,0,1.8345999999999998E2,1.009086752637683E1,9.743215660229159E-1,9.3568142985552,1.63718820861678E1,6.40582726326743,1.76E2,1.96E2
9QV,4.0416099429130554E2,-9.847000000000005E-1,22,13,6,6,4,1,0,2.3076923076923078E-1,26,2,0,9.248340000000002E1,39,0,0,0,0,0,0,2,12,2,0,40,0,0,0,0,2.4877999999999997E2,1.093601677585726E1,9.689913875100266E-1,1.0285979335646159E1,2.1301775147928993E1,7.935,2.02E2,2.32E2
A1AAZ,3.382779964208603E2,2.2906999999999997,21,9,4,4,2,1,0,1.8181818181818182E-1,22,2,0,9.032229999999998E1,36,0,0,0,0,0,0,2,7,1,1,37,0,0,0,0,1.8157E2,1.2317782465810195E1,9.743063634621423E-1,1.164261727906575E1,1.7355371900826448E1,6.629935720844812,1.89E2,2.08E2
A1H3G,3.3223299539089203E2,1.5372999999999992,22,10,5,4,2,1,0,1.6666666666666666E-1,24,3,0,8.990309999999998E1,37,0,0,0,0,0,0,5,6,1,0,39,0,0,0,0,1.8256E2,1.1346636352698184E1,9.755167052984063E-1,1.0631411631466932E1,1.684375E1,6.481481481481482,1.97E2,2.23E2
A1I9V,3.542769960165024E2,1.2199999999999995,22,10,5,5,2,2,0,1.7391304347826086E-1,23,2,0,9.18221E1,37,0,0,0,0,0,0,2,8,1,1,38,0,0,0,0,2.0179999999999998E2,9.297048892740639,9.728669914358213E-1,8.556341179814765,1.8340264650283554E1,6.857142857142857,1.93E2,2.16E2
A1ID5,3.8628099405765533E2,9.943999999999994E-1,25,11,5,4,2,2,0,1.7857142857142858E-1,28,3,0,1.0628850000000003E2,43,0,0,0,0,0,0,5,7,1,0,45,0,0,0,0,1.9253E2,1.0746212466177349E1,9.62038227204522E-1,1.0170255154416838E1,2.0727040816326532E1,8.16326530612245,2.25E2,2.55E2
A1IEA,3.622589946985245E2,9.909999999999997E-1,25,11,5,4,2,2,0,1.5384615384615385E-1,26,3,0,9.851250000000003E1,41,0,0,0,0,0,0,5,7,1,0,43,0,0,0,0,1.9253E2,1.0518748303796816E1,9.798862207241065E-1,9.734662944871065,1.8781065088757398E1,6.9575,2.17E2,2.43E2
A23,4.091879950761795E2,2.263599999999999,23,14,4,3,3,0,0,1.3793103448275862E-1,29,4,0,9.570820000000002E1,39,0,0,0,0,0,0,5,9,2,0,42,0,0,0,0,2.2948000000000002E2,1.189001885959943E1,9.714774308234869E-1,1.1239109713048796E1,1.9322235434007133E1,6.805293005671078,2.17E2,2.53E2
A2L,4.053039937019348E2,3.887599999999999,30,13,4,3,2,1,0,2.7586206896551724E-1,29,3,0,1.1097869999999999E2,47,0,0,0,0,0,0,5,8,1,0,49,0,0,0,0,1.9976999999999998E2,1.3428507686465002E1,9.770217418929956E-1,1.2744328412228626E1,2.1702734839476815E1,9.212018140589569,2.48E2,2.65E2
A2M,3.61250994682312E2,2.5423999999999993,25,12,4,3,2,1,0,1.9230769230769232E-1,26,3,0,9.605170000000001E1,40,0,0,0,0,0,0,5,7,1,0,42,0,0,0,0,1.9054E2,1.1008832717742212E1,9.733502284758452E-1,1.0310248249472117E1,1.8781065088757398E1,7.3188691650230115,2.12E2,2.33E2
A2P,4.272029947042465E2,6.825999999999995E-1,25,15,6,5,4,1,0,2.0689655172413793E-1,29,3,0,1.0185080000000004E2,42,0,0,0,0,0,0,5,10,2,0,44,0,0,0,0,2.6354E2,1.2040478881659084E1,9.700743738621592E-1,1.1411913154372174E1,2.1702734839476815E1,8.024691358024691,2.21E2,2.53E2
A38,3.4722399497032166E2,1.2885,22,11,5,4,2,1,0,1.6E-1,25,3,0,9.07771E1,37,0,0,0,0,0,0,5,7,1,0,39,0,0,0,0,2.0128000000000003E2,1.2821648538630212E1,9.73595417994707E-1,1.2169380526706545E1,1.78112E1,6.718836565096953,1.98E2,2.26E2
A3A,3.3122499537467957E2,1.9039999999999995,22,11,4,3,2,1,0,1.6666666666666666E-1,24,3,0,8.804570000000001E1,36,0,0,0,0,0,0,5,6,1,0,38,0,0,0,0,1.8131E2,1.3230311473114211E1,9.709142728232714E-1,1.2626652572160127E1,1.684375E1,6.481481481481482,1.92E2,2.17E2
A3P,4.272029947042465E2,6.825999999999995E-1,25,15,6,5,4,1,0,2.0689655172413793E-1,29,3,0,1.0185080000000004E2,42,0,0,0,0,0,0,5,10,2,0,44,0,0,0,0,2.6353999999999996E2,1.0671617003611523E1,9.812949307012713E-1,9.875035292381643,2.1702734839476815E1,8.024691358024691,2.21E2,2.53E2
A40,3.602669950723648E2,2.8971999999999993,26,12,5,4,2,1,0,1.9230769230769232E-1,26,3,0,1.0042810000000001E2,41,0,0,0,0,0,0,6,6,1,0,43,0,0,0,0,1.9334E2,1.3908684615891074E1,9.738735001359801E-1,1.3281818546196227E1,1.8781065088757398E1,7.3188691650230115,2.17E2,2.38E2
A43,3.3024099576473236E2,3.266799999999999,22,10,4,2,2,0,0,1.6666666666666666E-1,24,3,0,9.13794E1,37,0,0,0,0,0,0,6,5,1,0,39,0,0,0,0,1.8872000000000003E2,1.3824935662893038E1,9.735297458316068E-1,1.32008353849358E1,1.684375E1,6.481481481481482,1.97E2,2.21E2
A44,4.053039937019348E2,3.887599999999999,30,13,4,3,2,1,0,2.7586206896551724E-1,29,3,0,1.1097869999999999E2,47,0,0,0,0,0,0,5,8,1,0,49,0,0,0,0,1.9976999999999998E2,1.0881883846617914E1,9.70105908302368E-1,1.0217212217231634E1,2.1702734839476815E1,9.212018140589569,2.48E2,2.65E2
A47,3.61250994682312E2,2.3599999999999994,25,12,4,4,2,1,0,2.3076923076923078E-1,26,3,0,9.624029999999999E1,40,0,0,0,0,0,0,5,7,1,0,42,0,0,0,0,1.7654999999999998E2,1.3856094238252595E1,9.679583782000178E-1,1.3314762442594807E1,1.8781065088757398E1,7.7091412742382275,2.12E2,2.31E2
A5M,3.2221399533748627E2,1.6131000000000006,22,10,5,3,2,1,0,1.8181818181818182E-1,22,2,0,8.605319999999999E1,36,0,0,0,0,0,0,4,7,1,0,37,0,0,0,0,2.0024E2,1.172013972838606E1,9.718793042749856E-1,1.1059254350651281E1,1.7355371900826448E1,6.629935720844812,1.85E2,2.08E2
A9Z,4.2632999408245087E2,2.8859999999999992,29,14,4,3,2,1,0,1.875E-1,32,4,0,1.174667E2,48,0,0,0,0,0,0,8,6,1,0,51,0,0,0,0,2.1202E2,1.1904789622825666E1,9.737274964731761E-1,1.122599717677133E1,2.2203125E1,8.859375,2.59E2,2.91E2
ABR,4.513759925365448E2,3.9750000000000014,31,12,5,5,2,2,0,2.3529411764705882E-1,34,3,0,1.3229109999999997E2,53,0,0,0,0,0,0,5,7,1,0,56,0,0,0,0,1.8754999999999998E2,1.605323752685106E1,9.72856859634025E-1,1.5501130015046675E1,2.4134948096885815E1,1.0508121615993335E1,2.82E2,3.19E2
